"","Date","Year","Country","Location","Fatal (Y/N)","lon","lat"
"1","18-Sep-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"2","18-Sep-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"3","18-Sep-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"4","11-Sep-2016",2016,"USA","Ponte Vedra, St. Johns County","N",-81.3852595,30.2400058
"5","07-Sep-2016",2016,"USA","Makaha, Oahu","N",-158.2206477,21.4634328
"6","05-Sep-2016",2016,"USA","Kingston Plantation, Myrtle Beach, Horry County","N",-78.7800868,33.7737746
"7","04-Sep-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"8","01-Sep-2016",2016,"USA","Refugio State Beach, Santa Barbara County","N",-120.0738984,34.4609069
"9","29-Aug-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"10","29-Aug-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"11","25-Aug-2016",2016,"USA","Ponte Vedra, St. Johns County","N",-81.3852595,30.2400058
"12","06-Aug-2016",2016,"USA","Maui","N",-156.3319253,20.7983626
"13","04-Aug-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"14","27-Jul-2016",2016,"USA","Florida Keys, Florida, Monroe County","N",-99.7973918,36.0095232
"15","17-Jul-2016",2016,"USA","8 miles off Mobile","N",-83.3732847,42.4401638
"16","16-Jul-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"17","16-Jul-2016",2016,"USA","New Smyrna Beach, Volusia County","N",-80.9269984,29.0258191
"18","15-Jul-2016",2016,"USA","North Myrtle Beach, Horry County","N",-78.680016,33.8160058
"19","08-Jul-2016",2016,"USA","Capitola, Santa Cruz County","N",-121.953293,36.9752283
"20","07-Jul-2016",2016,"USA","Off Gloucester, Essec County","N",-70.662781,42.614076
"21","07-Jul-2016",2016,"USA","Off Palos Verdes peninsula, Los Angeles County","N",-118.374054,33.77266
"22","06-Jul-2016",2016,"USA","Melbourne Beach, Brevard County","N",-80.5603303,28.0683496
"23","27-Jun-2016",2016,"USA","Sullivan's Island","N",-79.8367511,32.7632323
"24","25-Jun-2016",2016,"USA","Atlantic Beach, Emerald Isle, Carteret County","N",-76.7377872,34.7088563
"25","21-Jun-2016",2016,"USA","North Myrtle Beach, Horry County","N",-78.680016,33.8160058
"26","21-Jun-2016",2016,"USA","Pelican Beach Park, Satellite Beach, Brevard County","N",-80.5877597,28.1673007
"27","15-Jun-2016",2016,"USA","Kalapaki Beach, Kauai","N",-159.3501759,21.9605229
"28","14-Jun-2016",2016,"USA","Pirates Beach, Galveston","N",-94.9365782,29.2047732
"29","11-Jun-2016",2016,"USA","Atlantic Beach, Emerald Isle, Carteret County","N",-76.7377872,34.7088563
"30","07-Jun-2016",2016,"USA","Folly Beach, Charleston County","N",-79.9403673,32.6551798
"31","05-Jun-2016",2016,"USA","Flagler Beach, Flagler County","N",-81.1270035,29.4749754
"32","29-May-2016",2016,"USA","Corona Del Mar, Newport, Orange County","N",-117.8730142,33.5978595
"33","29-May-2016",2016,"USA","Neptune, Duval County","N",-81.3964734,30.311908
"34","22-May-2016",2016,"USA","Vero Beach, Indian River County","N",-80.3972736,27.6386434
"35","21-May-2016",2016,"USA","St. Petersburg, Pinellas County","N",-82.6267345,27.7518284
"36","21-May-2016",2016,"USA","Hugenot Beach , Jacksonville, Duval County","N",-81.420617,30.4109625
"37","18-May-2016",2016,"USA","Ponte Vedra, St. Johns County","N",-81.3852595,30.2400058
"38","15-May-2016",2016,"USA","Boca Raton, Palm Beach County","N",-80.1289321,26.3683064
"39","03-May-2016",2016,"USA","Wailea Beach, Maui","N",-156.443335,20.68744
